checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,12,existingpaid,radio/tv,1567,<100,1<=X<4,1,femalediv/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,yes,good
<0,24,critical/otherexistingcredit,newcar,1199,<100,>=7,4,malesingle,none,4,car,60,none,own,2,unskilledresident,1,none,yes,bad
<0,15,existingpaid,newcar,1403,<100,1<=X<4,2,femalediv/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes,good
<0,24,existingpaid,radio/tv,1282,100<=X<500,1<=X<4,4,femalediv/dep/mar,none,2,car,32,none,own,1,unskilledresident,1,none,yes,bad
nochecking,24,critical/otherexistingcredit,radio/tv,2424,noknownsavings,>=7,4,malesingle,none,4,lifeinsurance,53,none,own,2,skilled,1,none,yes,good
<0,30,nocredits/allpaid,business,8072,noknownsavings,<1,2,malesingle,none,3,car,25,bank,own,3,skilled,1,none,yes,good
0<=X<200,24,existingpaid,usedcar,12579,<100,>=7,4,femalediv/dep/mar,none,2,noknownproperty,44,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,24,existingpaid,radio/tv,3430,500<=X<1000,>=7,3,malesingle,none,2,car,31,none,own,1,skilled,2,yes,yes,good
nochecking,9,critical/otherexistingcredit,newcar,2134,<100,1<=X<4,4,malesingle,none,4,car,48,none,own,3,skilled,1,yes,yes,good
<0,6,existingpaid,radio/tv,2647,500<=X<1000,1<=X<4,2,malesingle,none,3,realestate,44,none,rent,1,skilled,2,none,yes,good
<0,10,critical/otherexistingcredit,newcar,2241,<100,<1,1,malesingle,none,3,realestate,48,none,rent,2,unskilledresident,2,none,no,good
0<=X<200,12,critical/otherexistingcredit,usedcar,1804,100<=X<500,<1,3,malesingle,none,4,lifeinsurance,44,none,own,1,skilled,1,none,yes,good
nochecking,10,critical/otherexistingcredit,furniture/equipment,2069,noknownsavings,1<=X<4,2,malemar/wid,none,1,car,26,none,own,2,skilled,1,none,no,good
<0,6,existingpaid,furniture/equipment,1374,<100,1<=X<4,1,malesingle,none,2,realestate,36,bank,own,1,unskilledresident,1,yes,yes,good
nochecking,6,nocredits/allpaid,radio/tv,426,<100,>=7,4,malemar/wid,none,4,car,39,none,own,1,unskilledresident,1,none,yes,good
>=200,12,allpaid,radio/tv,409,>=1000,1<=X<4,3,femalediv/dep/mar,none,3,realestate,42,none,rent,2,skilled,1,none,yes,good
0<=X<200,7,existingpaid,radio/tv,2415,<100,1<=X<4,3,malesingle,guarantor,2,realestate,34,none,own,1,skilled,1,none,yes,good
<0,60,delayedpreviously,business,6836,<100,>=7,3,malesingle,none,4,noknownproperty,63,none,own,2,skilled,1,yes,yes,bad
0<=X<200,18,existingpaid,business,1913,>=1000,<1,3,malemar/wid,none,3,realestate,36,bank,own,1,skilled,1,yes,yes,good
<0,24,existingpaid,furniture/equipment,4020,<100,1<=X<4,2,malesingle,none,2,car,27,stores,own,1,skilled,1,none,yes,good
0<=X<200,18,existingpaid,newcar,5866,100<=X<500,1<=X<4,2,malesingle,none,2,car,30,none,own,2,skilled,1,yes,yes,good
nochecking,12,critical/otherexistingcredit,business,1264,noknownsavings,>=7,4,malesingle,none,4,noknownproperty,57,none,rent,1,unskilledresident,1,none,yes,good
>=200,12,existingpaid,furniture/equipment,1474,<100,<1,4,femalediv/dep/mar,none,1,lifeinsurance,33,bank,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,45,critical/otherexistingcredit,radio/tv,4746,<100,<1,4,malesingle,none,2,lifeinsurance,25,none,own,2,unskilledresident,1,none,yes,bad
nochecking,48,critical/otherexistingcredit,education,6110,<100,1<=X<4,1,malesingle,none,3,noknownproperty,31,bank,forfree,1,skilled,1,yes,yes,good
>=200,18,existingpaid,radio/tv,2100,<100,1<=X<4,4,malesingle,coapplicant,2,realestate,37,stores,own,1,skilled,1,none,yes,bad
>=200,10,existingpaid,domesticappliance,1225,<100,1<=X<4,2,malesingle,none,2,car,37,none,own,1,skilled,1,yes,yes,good
0<=X<200,9,existingpaid,radio/tv,458,<100,1<=X<4,4,malesingle,none,3,realestate,24,none,own,1,skilled,1,none,yes,good
nochecking,30,existingpaid,radio/tv,2333,500<=X<1000,>=7,4,malesingle,none,2,car,30,bank,own,1,highqualif/selfemp/mgmt,1,none,yes,good
0<=X<200,12,existingpaid,radio/tv,1158,500<=X<1000,1<=X<4,3,malediv/sep,none,1,car,26,none,own,1,skilled,1,yes,yes,good
0<=X<200,18,delayedpreviously,repairs,6204,<100,1<=X<4,2,malesingle,none,4,realestate,44,none,own,1,unskilledresident,2,yes,yes,good
<0,30,critical/otherexistingcredit,usedcar,6187,100<=X<500,4<=X<7,1,malemar/wid,none,4,car,24,none,rent,2,skilled,1,none,yes,good
<0,48,critical/otherexistingcredit,usedcar,6143,<100,>=7,4,femalediv/dep/mar,none,4,noknownproperty,58,stores,forfree,2,unskilledresident,1,none,yes,bad
nochecking,11,critical/otherexistingcredit,newcar,1393,<100,<1,4,femalediv/dep/mar,none,4,car,35,none,own,2,highqualif/selfemp/mgmt,1,none,yes,good
nochecking,36,existingpaid,radio/tv,2299,500<=X<1000,>=7,4,malesingle,none,4,car,39,none,own,1,skilled,1,none,yes,good
<0,6,existingpaid,usedcar,1352,500<=X<1000,unemployed,1,femalediv/dep/mar,none,2,lifeinsurance,23,none,rent,1,unemp/unskillednonres,1,yes,yes,good
nochecking,11,critical/otherexistingcredit,newcar,7228,<100,1<=X<4,1,malesingle,none,4,lifeinsurance,39,none,own,2,unskilledresident,1,none,yes,good
nochecking,12,existingpaid,radio/tv,2073,100<=X<500,1<=X<4,4,femalediv/dep/mar,coapplicant,2,realestate,28,none,own,1,skilled,1,none,yes,good
0<=X<200,24,delayedpreviously,furniture/equipment,2333,noknownsavings,<1,4,malesingle,none,2,lifeinsurance,29,bank,own,1,unskilledresident,1,none,yes,good
0<=X<200,27,delayedpreviously,usedcar,5965,<100,>=7,1,malesingle,none,2,car,30,none,own,2,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,12,existingpaid,radio/tv,1262,<100,1<=X<4,3,malesingle,none,2,car,25,none,own,1,skilled,1,none,yes,good
nochecking,18,existingpaid,usedcar,3378,noknownsavings,1<=X<4,2,malesingle,none,1,lifeinsurance,31,none,own,1,skilled,1,yes,yes,good
0<=X<200,36,delayedpreviously,newcar,2225,<100,>=7,4,malesingle,none,4,noknownproperty,57,bank,forfree,2,skilled,1,yes,yes,bad
nochecking,6,allpaid,newcar,783,noknownsavings,1<=X<4,1,malesingle,guarantor,2,realestate,26,stores,own,1,unskilledresident,2,none,yes,good
0<=X<200,12,existingpaid,radio/tv,6468,noknownsavings,unemployed,2,malesingle,none,1,noknownproperty,52,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
nochecking,36,critical/otherexistingcredit,radio/tv,9566,<100,1<=X<4,2,femalediv/dep/mar,none,2,car,31,stores,own,2,skilled,1,none,yes,good
>=200,18,existingpaid,newcar,1961,<100,>=7,3,femalediv/dep/mar,none,2,car,23,none,own,1,highqualif/selfemp/mgmt,1,none,yes,good
<0,36,critical/otherexistingcredit,furniture/equipment,6229,<100,<1,4,femalediv/dep/mar,coapplicant,4,noknownproperty,23,none,rent,2,unskilledresident,1,yes,yes,bad
0<=X<200,9,existingpaid,business,1391,<100,1<=X<4,2,malemar/wid,none,1,realestate,27,bank,own,1,skilled,1,yes,yes,good
0<=X<200,15,critical/otherexistingcredit,radio/tv,1537,noknownsavings,>=7,4,malesingle,guarantor,4,realestate,50,none,own,2,skilled,1,yes,yes,good
0<=X<200,36,nocredits/allpaid,business,1953,<100,>=7,4,malesingle,none,4,noknownproperty,61,none,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,bad
0<=X<200,48,nocredits/allpaid,business,14421,<100,1<=X<4,2,malesingle,none,2,car,25,none,own,1,skilled,1,yes,yes,bad
nochecking,24,existingpaid,radio/tv,3181,<100,<1,4,femalediv/dep/mar,none,4,lifeinsurance,26,none,own,1,skilled,1,yes,yes,good
nochecking,27,existingpaid,repairs,5190,noknownsavings,>=7,4,malesingle,none,4,lifeinsurance,48,none,own,4,skilled,2,yes,yes,good
nochecking,12,existingpaid,radio/tv,2171,<100,<1,2,femalediv/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,good
0<=X<200,12,existingpaid,newcar,1007,>=1000,1<=X<4,4,malemar/wid,none,1,realestate,22,none,own,1,skilled,1,none,yes,good
nochecking,36,existingpaid,education,1819,<100,1<=X<4,4,malesingle,none,4,noknownproperty,37,stores,forfree,1,skilled,1,yes,yes,bad
nochecking,36,existingpaid,radio/tv,2394,noknownsavings,1<=X<4,4,femalediv/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,good
nochecking,36,existingpaid,usedcar,8133,<100,1<=X<4,1,femalediv/dep/mar,none,2,lifeinsurance,30,bank,own,1,skilled,1,none,yes,good
nochecking,7,critical/otherexistingcredit,radio/tv,730,noknownsavings,>=7,4,malesingle,none,2,lifeinsurance,46,none,rent,2,unskilledresident,1,yes,yes,good
<0,8,critical/otherexistingcredit,other,1164,<100,>=7,3,malesingle,none,4,noknownproperty,51,bank,forfree,2,highqualif/selfemp/mgmt,2,yes,yes,good
0<=X<200,42,critical/otherexistingcredit,business,5954,<100,4<=X<7,2,femalediv/dep/mar,none,1,realestate,41,bank,own,2,unskilledresident,1,none,yes,good
<0,36,existingpaid,education,1977,noknownsavings,>=7,4,malesingle,none,4,noknownproperty,40,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
<0,12,critical/otherexistingcredit,usedcar,1526,<100,>=7,4,malesingle,none,4,noknownproperty,66,none,forfree,2,highqualif/selfemp/mgmt,1,none,yes,good
<0,42,existingpaid,radio/tv,3965,<100,<1,4,malesingle,none,3,car,34,none,own,1,skilled,1,none,yes,bad
0<=X<200,11,delayedpreviously,radio/tv,4771,<100,4<=X<7,2,malesingle,none,4,lifeinsurance,51,none,own,1,skilled,1,none,yes,good
nochecking,54,nocredits/allpaid,usedcar,9436,noknownsavings,1<=X<4,2,malesingle,none,2,lifeinsurance,39,none,own,1,unskilledresident,2,none,yes,good
0<=X<200,30,existingpaid,furniture/equipment,3832,<100,<1,2,malemar/wid,none,1,lifeinsurance,22,none,own,1,skilled,1,none,yes,good
nochecking,24,existingpaid,radio/tv,5943,noknownsavings,<1,1,femalediv/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes,bad
nochecking,15,existingpaid,radio/tv,1213,500<=X<1000,>=7,4,malesingle,none,3,lifeinsurance,47,stores,own,1,skilled,1,yes,yes,good
nochecking,18,existingpaid,business,1568,100<=X<500,1<=X<4,3,femalediv/dep/mar,none,4,lifeinsurance,24,none,rent,1,unskilledresident,1,none,yes,good
<0,24,existingpaid,other,1755,<100,>=7,4,femalediv/dep/mar,guarantor,4,realestate,58,none,own,1,unskilledresident,1,yes,yes,good
<0,10,existingpaid,radio/tv,2315,<100,>=7,3,malesingle,none,4,realestate,52,none,own,1,unskilledresident,1,none,yes,good
nochecking,12,critical/otherexistingcredit,business,1412,<100,1<=X<4,4,femalediv/dep/mar,guarantor,2,realestate,29,none,own,2,highqualif/selfemp/mgmt,1,yes,yes,good
0<=X<200,18,critical/otherexistingcredit,furniture/equipment,1295,<100,<1,4,femalediv/dep/mar,none,1,lifeinsurance,27,none,own,2,skilled,1,none,yes,good
0<=X<200,36,existingpaid,education,12612,100<=X<500,1<=X<4,1,malesingle,none,4,noknownproperty,47,none,forfree,1,skilled,2,yes,yes,bad
<0,18,existingpaid,newcar,2249,100<=X<500,4<=X<7,4,malesingle,none,3,car,30,none,own,1,highqualif/selfemp/mgmt,2,yes,yes,good
<0,12,nocredits/allpaid,repairs,1108,<100,4<=X<7,4,malesingle,none,3,realestate,28,none,own,2,skilled,1,none,yes,bad
nochecking,12,critical/otherexistingcredit,radio/tv,618,<100,>=7,4,malesingle,none,4,realestate,56,none,own,1,skilled,1,none,yes,good
<0,12,critical/otherexistingcredit,usedcar,1409,<100,>=7,4,malesingle,none,3,realestate,54,none,own,1,skilled,1,none,yes,good
nochecking,12,critical/otherexistingcredit,radio/tv,797,noknownsavings,>=7,4,femalediv/dep/mar,none,3,lifeinsurance,33,bank,own,1,unskilledresident,2,none,yes,bad
>=200,24,critical/otherexistingcredit,furniture/equipment,3617,noknownsavings,>=7,4,malesingle,coapplicant,4,noknownproperty,20,none,rent,2,skilled,1,none,yes,good
0<=X<200,12,existingpaid,newcar,1318,>=1000,>=7,4,malesingle,none,4,realestate,54,none,own,1,skilled,1,yes,yes,good
0<=X<200,54,nocredits/allpaid,business,15945,<100,<1,3,malesingle,none,4,noknownproperty,58,none,rent,1,skilled,1,yes,yes,bad
nochecking,12,critical/otherexistingcredit,education,2012,noknownsavings,4<=X<7,4,femalediv/dep/mar,none,2,car,61,none,own,1,skilled,1,none,yes,good
0<=X<200,18,existingpaid,business,2622,100<=X<500,1<=X<4,4,malesingle,none,4,car,34,none,own,1,skilled,1,none,yes,good
0<=X<200,36,critical/otherexistingcredit,radio/tv,2337,<100,>=7,4,malesingle,none,4,realestate,36,none,own,1,skilled,1,none,yes,good
0<=X<200,20,delayedpreviously,usedcar,7057,noknownsavings,4<=X<7,3,malesingle,none,4,lifeinsurance,36,bank,rent,2,highqualif/selfemp/mgmt,2,yes,yes,good
nochecking,24,existingpaid,newcar,1469,100<=X<500,>=7,4,malemar/wid,none,4,realestate,41,none,rent,1,unskilledresident,1,none,yes,good
0<=X<200,36,existingpaid,radio/tv,2323,<100,4<=X<7,4,malesingle,none,4,car,24,none,rent,1,skilled,1,none,yes,good
nochecking,6,delayedpreviously,radio/tv,932,<100,1<=X<4,3,femalediv/dep/mar,none,2,realestate,24,none,own,1,skilled,1,none,yes,good
0<=X<200,9,critical/otherexistingcredit,furniture/equipment,1919,<100,4<=X<7,4,malesingle,none,3,car,35,none,rent,1,skilled,1,yes,yes,good
nochecking,12,existingpaid,usedcar,2445,noknownsavings,<1,2,malemar/wid,none,4,car,26,none,rent,1,skilled,1,yes,yes,good
0<=X<200,24,critical/otherexistingcredit,other,11938,<100,1<=X<4,2,malesingle,coapplicant,3,car,39,none,own,2,highqualif/selfemp/mgmt,2,yes,yes,bad
nochecking,18,allpaid,newcar,6458,<100,>=7,2,malesingle,none,4,noknownproperty,39,bank,own,2,highqualif/selfemp/mgmt,2,yes,yes,bad
0<=X<200,12,existingpaid,newcar,6078,<100,4<=X<7,2,malesingle,none,2,car,32,none,own,1,skilled,1,none,yes,good
<0,24,existingpaid,furniture/equipment,7721,noknownsavings,<1,1,femalediv/dep/mar,none,2,lifeinsurance,30,none,own,1,skilled,1,yes,no,good
0<=X<200,14,existingpaid,business,1410,500<=X<1000,>=7,1,malemar/wid,none,2,realestate,35,none,own,1,skilled,1,yes,yes,good
0<=X<200,6,delayedpreviously,business,1449,100<=X<500,>=7,1,malediv/sep,none,2,car,31,bank,own,2,skilled,2,none,yes,good
>=200,15,existingpaid,education,392,<100,<1,4,femalediv/dep/mar,none,4,lifeinsurance,23,none,rent,1,skilled,1,yes,yes,good
0<=X<200,18,existingpaid,newcar,6260,<100,4<=X<7,3,malesingle,none,3,realestate,28,none,rent,1,unskilledresident,1,none,yes,good
nochecking,36,critical/otherexistingcredit,newcar,7855,<100,1<=X<4,4,femalediv/dep/mar,none,2,realestate,25,stores,own,2,skilled,1,yes,yes,bad
<0,12,existingpaid,radio/tv,1680,500<=X<1000,>=7,3,malemar/wid,none,1,realestate,35,none,own,1,skilled,1,none,yes,good
nochecking,48,critical/otherexistingcredit,radio/tv,3578,noknownsavings,>=7,4,malesingle,none,1,realestate,47,none,own,1,skilled,1,yes,yes,good
<0,42,existingpaid,radio/tv,7174,noknownsavings,4<=X<7,4,femalediv/dep/mar,none,3,car,30,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
<0,10,critical/otherexistingcredit,furniture/equipment,2132,noknownsavings,<1,2,femalediv/dep/mar,coapplicant,3,realestate,27,none,rent,2,skilled,1,none,no,good
<0,33,critical/otherexistingcredit,furniture/equipment,4281,500<=X<1000,1<=X<4,1,femalediv/dep/mar,none,4,car,23,none,own,2,skilled,1,none,yes,bad
0<=X<200,12,critical/otherexistingcredit,newcar,2366,500<=X<1000,4<=X<7,3,malediv/sep,none,3,car,36,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,21,existingpaid,radio/tv,1835,<100,1<=X<4,3,femalediv/dep/mar,none,2,realestate,25,none,own,2,skilled,1,yes,yes,bad
nochecking,24,critical/otherexistingcredit,usedcar,3868,<100,>=7,4,femalediv/dep/mar,none,2,car,41,none,rent,2,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,12,existingpaid,furniture/equipment,1768,<100,1<=X<4,3,malesingle,none,2,realestate,24,none,rent,1,unskilledresident,1,none,yes,good
>=200,10,critical/otherexistingcredit,newcar,781,<100,>=7,4,malesingle,none,4,noknownproperty,63,none,forfree,2,skilled,1,yes,yes,good
0<=X<200,18,existingpaid,furniture/equipment,1924,noknownsavings,<1,4,femalediv/dep/mar,none,3,realestate,27,none,rent,1,skilled,1,none,yes,bad
<0,12,critical/otherexistingcredit,newcar,2121,<100,1<=X<4,4,malesingle,none,2,lifeinsurance,30,none,own,2,skilled,1,none,yes,good
<0,12,existingpaid,radio/tv,701,<100,1<=X<4,4,malemar/wid,none,2,realestate,40,none,own,1,unskilledresident,1,none,yes,good
0<=X<200,12,existingpaid,repairs,639,<100,1<=X<4,4,malesingle,none,2,car,30,none,own,1,skilled,1,none,yes,bad
0<=X<200,12,critical/otherexistingcredit,usedcar,1860,<100,unemployed,4,malesingle,none,2,car,34,none,own,2,highqualif/selfemp/mgmt,1,yes,yes,good
<0,12,critical/otherexistingcredit,newcar,3499,<100,1<=X<4,3,femalediv/dep/mar,coapplicant,2,realestate,29,none,own,2,skilled,1,none,yes,bad
0<=X<200,48,existingpaid,newcar,8487,noknownsavings,4<=X<7,1,femalediv/dep/mar,none,2,car,24,none,own,1,skilled,1,none,yes,good
<0,36,delayedpreviously,education,6887,<100,1<=X<4,4,malesingle,none,3,lifeinsurance,29,stores,own,1,skilled,1,yes,yes,bad
nochecking,15,existingpaid,furniture/equipment,2708,<100,<1,2,malesingle,none,3,lifeinsurance,27,bank,own,2,unskilledresident,1,none,yes,good
nochecking,18,existingpaid,furniture/equipment,1984,<100,1<=X<4,4,malesingle,none,4,noknownproperty,47,bank,forfree,2,skilled,1,none,yes,good
nochecking,60,existingpaid,radio/tv,10144,100<=X<500,4<=X<7,2,femalediv/dep/mar,none,4,realestate,21,none,own,1,skilled,1,yes,yes,good
nochecking,12,critical/otherexistingcredit,radio/tv,1240,noknownsavings,>=7,4,femalediv/dep/mar,none,2,realestate,38,none,own,2,skilled,1,yes,yes,good
nochecking,27,delayedpreviously,usedcar,8613,>=1000,1<=X<4,2,malesingle,none,2,car,27,none,own,2,skilled,1,none,yes,good
0<=X<200,12,existingpaid,radio/tv,766,500<=X<1000,1<=X<4,4,malesingle,none,3,realestate,66,none,own,1,unskilledresident,1,none,yes,bad
0<=X<200,15,critical/otherexistingcredit,radio/tv,2728,noknownsavings,4<=X<7,4,malesingle,guarantor,2,realestate,35,bank,own,3,skilled,1,yes,yes,good
>=200,12,existingpaid,radio/tv,1881,<100,1<=X<4,2,femalediv/dep/mar,none,2,car,44,none,rent,1,unskilledresident,1,yes,yes,good
>=200,6,existingpaid,newcar,709,>=1000,<1,2,malemar/wid,none,2,realestate,27,none,own,1,unemp/unskillednonres,1,none,no,good
0<=X<200,36,existingpaid,radio/tv,4795,<100,<1,4,femalediv/dep/mar,none,1,noknownproperty,30,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,27,existingpaid,radio/tv,3416,<100,1<=X<4,3,malesingle,none,2,car,27,none,own,1,highqualif/selfemp/mgmt,1,none,yes,good
<0,18,existingpaid,furniture/equipment,2462,<100,1<=X<4,2,malesingle,none,2,car,22,none,own,1,skilled,1,none,yes,bad
nochecking,21,critical/otherexistingcredit,furniture/equipment,2288,<100,<1,4,femalediv/dep/mar,none,4,lifeinsurance,23,none,own,1,skilled,1,yes,yes,good
0<=X<200,48,allpaid,business,3566,100<=X<500,4<=X<7,4,malesingle,none,2,car,30,none,own,1,skilled,1,none,yes,good
<0,6,critical/otherexistingcredit,newcar,860,<100,>=7,1,femalediv/dep/mar,none,4,noknownproperty,39,none,own,2,skilled,1,yes,yes,good
nochecking,12,critical/otherexistingcredit,newcar,682,100<=X<500,4<=X<7,4,femalediv/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,yes,good
<0,36,critical/otherexistingcredit,furniture/equipment,5371,<100,1<=X<4,3,malesingle,guarantor,2,lifeinsurance,28,none,own,2,skilled,1,none,yes,good
nochecking,18,critical/otherexistingcredit,radio/tv,1582,>=1000,>=7,4,malesingle,none,4,car,46,none,own,2,skilled,1,none,yes,good
nochecking,6,existingpaid,radio/tv,1346,100<=X<500,>=7,2,malesingle,none,4,noknownproperty,42,bank,forfree,1,skilled,2,yes,yes,good
nochecking,10,existingpaid,radio/tv,1924,<100,1<=X<4,1,malesingle,none,4,lifeinsurance,38,none,own,1,skilled,1,yes,no,good
>=200,36,existingpaid,radio/tv,5848,<100,1<=X<4,4,malesingle,none,1,car,24,none,own,1,skilled,1,none,yes,good
0<=X<200,24,critical/otherexistingcredit,usedcar,7758,>=1000,>=7,2,femalediv/dep/mar,none,4,noknownproperty,29,none,rent,1,skilled,1,none,yes,good
0<=X<200,24,delayedpreviously,business,6967,100<=X<500,4<=X<7,4,malesingle,none,4,car,36,none,rent,1,highqualif/selfemp/mgmt,1,yes,yes,good
<0,12,existingpaid,furniture/equipment,1282,<100,1<=X<4,2,femalediv/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,bad
<0,9,critical/otherexistingcredit,repairs,1288,100<=X<500,>=7,3,malesingle,guarantor,4,realestate,48,none,own,2,skilled,2,none,no,good
<0,12,allpaid,retraining,339,<100,>=7,4,malemar/wid,none,1,car,45,bank,own,1,unskilledresident,1,none,yes,good
0<=X<200,24,existingpaid,newcar,3512,100<=X<500,4<=X<7,2,malesingle,none,3,car,38,bank,own,2,skilled,1,yes,yes,good
nochecking,6,critical/otherexistingcredit,radio/tv,1898,noknownsavings,1<=X<4,1,malesingle,none,2,realestate,34,none,own,2,unskilledresident,2,none,yes,good
nochecking,24,critical/otherexistingcredit,radio/tv,2872,100<=X<500,>=7,3,malesingle,none,4,realestate,36,none,own,1,skilled,2,yes,yes,good
nochecking,18,critical/otherexistingcredit,newcar,1055,<100,<1,4,femalediv/dep/mar,none,1,lifeinsurance,30,none,own,2,skilled,1,none,yes,good
nochecking,15,existingpaid,domesticappliance,1262,500<=X<1000,4<=X<7,4,malesingle,none,3,lifeinsurance,36,none,own,2,skilled,1,yes,yes,good
0<=X<200,10,existingpaid,newcar,7308,<100,unemployed,2,malesingle,none,4,noknownproperty,70,bank,forfree,1,highqualif/selfemp/mgmt,1,yes,yes,good
nochecking,36,existingpaid,newcar,909,500<=X<1000,>=7,4,malesingle,none,4,lifeinsurance,36,none,own,1,skilled,1,none,yes,good
nochecking,6,existingpaid,furniture/equipment,2978,500<=X<1000,1<=X<4,1,malesingle,none,2,car,32,none,own,1,skilled,1,yes,yes,good
<0,18,existingpaid,furniture/equipment,1131,<100,unemployed,4,femalediv/dep/mar,none,2,car,33,none,own,1,skilled,1,none,yes,bad
0<=X<200,11,existingpaid,furniture/equipment,1577,>=1000,<1,4,femalediv/dep/mar,none,1,realestate,20,none,own,1,skilled,1,none,yes,good
nochecking,24,existingpaid,furniture/equipment,3972,<100,4<=X<7,2,femalediv/dep/mar,none,4,lifeinsurance,25,none,rent,1,skilled,1,yes,yes,good
0<=X<200,24,critical/otherexistingcredit,business,1935,<100,>=7,4,malediv/sep,none,4,realestate,31,none,own,2,skilled,1,yes,yes,bad
<0,15,nocredits/allpaid,newcar,950,<100,>=7,4,malesingle,none,3,car,33,none,rent,2,skilled,2,none,yes,bad
nochecking,12,existingpaid,furniture/equipment,763,<100,1<=X<4,4,femalediv/dep/mar,none,1,realestate,26,none,own,1,skilled,1,yes,yes,good
0<=X<200,24,delayedpreviously,furniture/equipment,2064,<100,unemployed,3,femalediv/dep/mar,none,2,lifeinsurance,34,none,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
0<=X<200,8,existingpaid,radio/tv,1414,<100,1<=X<4,4,malesingle,guarantor,2,realestate,33,none,own,1,skilled,1,none,no,good
<0,21,delayedpreviously,education,3414,<100,<1,2,malesingle,none,1,lifeinsurance,26,none,own,2,skilled,1,none,yes,bad
nochecking,30,allpaid,usedcar,7485,noknownsavings,unemployed,4,femalediv/dep/mar,none,1,realestate,53,bank,own,1,highqualif/selfemp/mgmt,1,yes,yes,bad
<0,12,existingpaid,furniture/equipment,2577,<100,1<=X<4,2,malediv/sep,none,1,car,42,none,own,1,skilled,1,none,yes,good
<0,6,critical/otherexistingcredit,radio/tv,338,500<=X<1000,>=7,4,malesingle,none,4,car,52,none,own,2,skilled,1,none,yes,good
nochecking,12,existingpaid,radio/tv,1963,<100,4<=X<7,4,malesingle,none,2,car,31,none,rent,2,highqualif/selfemp/mgmt,2,yes,yes,good
<0,21,critical/otherexistingcredit,newcar,571,<100,>=7,4,malesingle,none,4,realestate,65,none,own,2,skilled,1,none,yes,good
nochecking,36,delayedpreviously,business,9572,<100,<1,1,malediv/sep,none,1,car,28,none,own,2,skilled,1,none,yes,bad
